ac_number,ac_name,candidate,party,party_type,votes,status,total_votes,valid_votes,vote_share,region,reserved
80,KALLAKURICHI,Nagammal Rajkodi,NTK,S,7494.0,FD,249689.0,248743.0,3.01,Central,SC
80,KALLAKURICHI,Malathi K,VCK,S,77666.0,L,249689.0,248743.0,31.22,Central,SC
80,KALLAKURICHI,Malathi K,IND,IND,179.0,FD,249689.0,248743.0,0.07,Central,SC
81,GANGAVALLI,Abirami. A,NTK,S,6242.0,FD,196881.0,195948.0,3.19,Central,SC
81,GANGAVALLI,Sujatha. V,TVK,U,55291.0,L,196881.0,195948.0,28.22,Central,SC
82,ATTUR,Sellammal. V.m.,BSP,N,412.0,FD,208562.0,207265.0,0.2,Central,SC
82,ATTUR,Monisha Chinnadurai.,NTK,S,6532.0,FD,208562.0,207265.0,3.15,Central,SC
82,ATTUR,Palaniyammal. S.,DMSK,U,215.0,FD,208562.0,207265.0,0.1,Central,SC
83,YERCAUD,Usharani. P,ADMK,S,87772.0,W,253743.0,252342.0,34.78,Central,ST
83,YERCAUD,Revathi. T.m,DMK,S,68045.0,L,253743.0,252342.0,26.97,Central,ST
83,YERCAUD,Lakshmi Janarthanan. J,TVK,U,85583.0,L,253743.0,252342.0,33.92,Central,ST
85,METTUR,Vidhya Veerappan,NTK,S,7109.0,FD,231663.0,230311.0,3.09,Central,GEN
86,EDAPPADI,Priyadharshini. A,NTK,S,8450.0,FD,258490.0,256922.0,3.29,Central,GEN
87,SANKARI,Nithya. A,NTK,S,7534.0,FD,244023.0,243068.0,3.1,Central,GEN
89,SALEM (NORTH),Gunaseela. M,NTK,S,6450.0,FD,210877.0,209507.0,3.08,Central,GEN
89,SALEM (NORTH),Jothilakshmi. R.s,VSHWTMLK,U,176.0,FD,210877.0,209507.0,0.08,Central,GEN
89,SALEM (NORTH),Pravina. G,IND,IND,97.0,FD,210877.0,209507.0,0.05,Central,GEN
90,SALEM (SOUTH),Sofia. S,NTK,S,5819.0,FD,208117.0,207157.0,2.81,Central,GEN
90,SALEM (SOUTH),Sumathi. P,IND,IND,61.0,FD,208117.0,207157.0,0.03,Central,GEN
91,VEERAPANDI,Kavitha. M.p,IND,IND,56.0,FD,236141.0,235281.0,0.02,Central,GEN
92,RASIPURAM,Sasikala S,NTK,S,6415.0,FD,204902.0,203817.0,3.15,Central,SC
92,RASIPURAM,Thangamani S,IND,IND,147.0,FD,204902.0,203817.0,0.07,Central,SC
92,RASIPURAM,Jayanthi M,IND,IND,118.0,FD,204902.0,203817.0,0.06,Central,SC
93,SENTHAMANGALAM,P Poomalar,DMK,S,64951.0,L,209816.0,208476.0,31.16,Central,ST
93,SENTHAMANGALAM,Ponnumani C,NTK,S,6478.0,FD,209816.0,208476.0,3.11,Central,ST
94,NAMAKKAL,Rani P,DMK,S,52808.0,L,212395.0,211523.0,24.97,Central,GEN
94,NAMAKKAL,Chandra P,IND,IND,322.0,FD,212395.0,211523.0,0.15,Central,GEN
95,PARAMATHI-VELUR,Shailaja,tavk,U,444.0,FD,189019.0,188396.0,0.24,Central,GEN
95,PARAMATHI-VELUR,Bakkiam P,AADMSK,U,116.0,FD,189019.0,188396.0,0.06,Central,GEN
95,PARAMATHI-VELUR,Parameshwari S,IND,IND,192.0,FD,189019.0,188396.0,0.1,Central,GEN
95,PARAMATHI-VELUR,Latha A,IND,IND,90.0,FD,189019.0,188396.0,0.05,Central,GEN
96,TIRUCHENGODU,Revathi K,NTK,S,6085.0,FD,191217.0,190602.0,3.19,Central,GEN
97,KUMARAPALAYAM,Uvarani Suresh,NTK,S,7663.0,FD,205359.0,204659.0,3.74,Central,GEN
97,KUMARAPALAYAM,C.vijayalakshmi,TVK,U,81179.0,W,205359.0,204659.0,39.67,Central,GEN
98,ERODE (EAST),B.chitra,BSP,N,256.0,FD,162573.0,161574.0,0.16,Kongu,GEN
98,ERODE (EAST),Nathiya.s,IND,IND,136.0,FD,162573.0,161574.0,0.08,Kongu,GEN
99,ERODE (WEST),V. Dhanalakshmi,tavk,U,163.0,FD,222437.0,220143.0,0.07,Kongu,GEN
99,ERODE (WEST),M. Rukmani,SMKNK,U,118.0,FD,222437.0,220143.0,0.05,Kongu,GEN
100,MODAKKURICHI,S.kirthika,BJP,N,58285.0,L,190905.0,189834.0,30.7,Kongu,GEN
100,MODAKKURICHI,L.bharathi,IND,IND,585.0,FD,190905.0,189834.0,0.31,Kongu,GEN
101,DHARAPURAM,Indirani.t,DMK,S,64373.0,L,200101.0,198886.0,32.37,Kongu,SC
101,DHARAPURAM,Sathyabama.p,ADMK,S,81100.0,W,200101.0,198886.0,40.78,Kongu,SC
101,DHARAPURAM,Dhivya,NTK,S,6026.0,FD,200101.0,198886.0,3.03,Kongu,SC
