ac_number,male_electors_21,female_electors_21,tg_electors_21,total_electors_21,male_voters_21,female_voters_21,tg_voters_21,total_voters_21,turnout_21,male_turnout_21,female_turnout_21,gender_gap_21,male_electors_26,female_electors_26,tg_electors_26,total_electors_26,male_voters_26,female_voters_26,tg_voters_26,total_voters_26,turnout_26,male_turnout_26,female_turnout_26,gender_gap_26,constituency,region,reserved,district,male_delta,female_delta,gap_change,female_surge,gap_flipped
98,111671,116737,17,228425,76051,75233,8,152631,66.82,68.1,64.45,-3.65,85826,93728,38,179592,77358,83854,28,162573,90.52,90.13,89.47,-0.66,Erode (East),Kongu,GEN,Erode,22.03,25.02,2.99,2.99,False
99,143721,149345,33,293099,100730,102515,18,206069,70.31,70.09,68.64,-1.45,120471,129703,43,250217,105949,114135,33,222437,88.9,87.95,88.0,0.05,Erode (West),Kongu,GEN,Erode,17.86,19.36,1.5,1.5,True
100,114637,124283,12,238932,88916,90892,1,182446,76.36,77.56,73.13,-4.43,99272,108413,12,207697,90155,97442,10,190905,91.92,90.82,89.88,-0.94,Modakurichi,Kongu,GEN,Erode,13.26,16.75,3.49,3.49,False
101,126091,132480,10,258581,95556,96165,1,194505,75.22,75.78,72.59,-3.19,106903,115523,8,222434,95384,102207,2,200101,89.96,89.22,88.47,-0.75,Dharapuram,Kongu,SC,Erode,13.44,15.88,2.44,2.44,False
102,125002,132165,23,257190,97548,100774,3,200376,77.91,78.04,76.25,-1.79,105102,114471,13,219586,96969,104090,8,203782,92.8,92.26,90.93,-1.33,Kangayam,Kongu,GEN,Erode,14.22,14.68,0.46,0.46,False
103,110561,117320,6,227887,93461,94544,1,190406,83.55,84.53,80.59,-3.94,102869,111576,6,214451,95940,102332,4,201079,93.76,93.26,91.72,-1.54,Perundurai,Kongu,GEN,Erode,8.73,11.13,2.4,2.4,False
104,117307,121406,8,238721,99598,99716,4,201454,84.39,84.9,82.13,-2.77,109054,114147,20,223221,100365,104755,13,208464,93.39,92.03,91.77,-0.26,Bhavani,Kongu,GEN,Erode,7.13,9.64,2.51,2.51,False
105,108051,111546,18,219615,87873,86993,4,176702,80.46,81.33,77.99,-3.34,101150,106236,27,207413,89783,93149,16,185970,89.66,88.76,87.68,-1.08,Anthiyur,Kongu,GEN,Erode,7.43,9.69,2.26,2.26,False
106,123299,133058,6,256363,104215,107316,2,214411,83.64,84.52,80.65,-3.87,114089,125096,13,239198,104400,112497,12,219988,91.97,91.51,89.93,-1.58,Gobichettipalayam,Kongu,GEN,Tirupur,6.99,9.28,2.29,2.29,False
107,127274,132965,10,260249,100383,100962,1,202895,77.96,78.87,75.93,-2.94,114711,122895,23,237629,103251,109064,18,214838,90.41,90.01,88.75,-1.26,Bhavanisagar,Kongu,SC,Tirupur,11.14,12.82,1.68,1.68,False
108,98842,107191,6,206039,69250,70389,3,142207,69.02,70.06,65.67,-4.39,89870,99087,11,188968,70796,75725,8,149032,78.87,78.78,76.42,-2.36,Udhagamandalam,Kongu,GEN,Tirupur,8.72,10.75,2.03,2.03,False
