ac_number,constituency,nota_21,region,nota_26,tot_21,tot_26,nota_pct_21,nota_pct_26,nota_delta
187,Manamadurai,1333,South,846,203061,208643,0.656,0.405,-0.251
188,Melur,884,South,554,182782,190726,0.484,0.29,-0.194
189,Madurai East,1944,South,1177,237892,271566,0.817,0.433,-0.384
190,Sholavandan,961,South,571,175361,189080,0.548,0.302,-0.246
191,Madurai North,1564,South,753,156556,161801,0.999,0.465,-0.534
192,Madurai South,1551,South,612,147833,141503,1.049,0.432,-0.617
193,Madurai Central,1441,South,656,149430,148586,0.964,0.441,-0.523
194,Madurai West,1774,South,893,201694,216403,0.88,0.413,-0.467
195,Thiruparankundram,2073,South,1148,235849,255466,0.879,0.449,-0.43
196,Thirumangalam,971,South,933,220495,230980,0.44,0.404,-0.036
197,Usilampatti,1032,South,692,212513,224048,0.486,0.309,-0.177
198,Andipatti,1333,South,1028,209540,217329,0.636,0.473,-0.163
199,Periyakulam,2451,South,1506,201797,211209,1.215,0.713,-0.502
200,Bodinayakanur,1403,South,931,214795,220628,0.653,0.422,-0.231
201,Cumbum,1659,South,667,202275,210574,0.82,0.317,-0.503
202,Rajapalayam,1875,South,753,178708,183020,1.049,0.411,-0.638
203,Srivilliputhur,1666,South,873,185039,193471,0.9,0.451,-0.449
204,Sattur,1297,South,476,191783,198734,0.676,0.24,-0.436
205,Sivakasi,1727,South,948,185047,193517,0.933,0.49,-0.443
206,Virudhunagar,1570,South,954,161717,167832,0.971,0.568,-0.403
207,Aruppukottai,1323,South,692,171201,178413,0.773,0.388,-0.385
208,Tiruchuli,740,South,425,172811,181250,0.428,0.234,-0.194
209,Paramakudi,1258,South,710,182158,189753,0.691,0.374,-0.317
210,Tiruvadanai,768,South,354,201815,220278,0.381,0.161,-0.22
211,Ramanathapuram,753,South,953,214098,237576,0.352,0.401,0.049
212,Mudukulathur,523,South,429,221213,231373,0.236,0.185,-0.051
213,Vilathikulam,1036,South,642,167169,174814,0.62,0.367,-0.253
214,Thoothukkudi,1569,South,853,188407,204712,0.833,0.417,-0.416
215,Tiruchendur,1051,South,722,174536,186050,0.602,0.388,-0.214
216,Srivaikuntam,756,South,579,164386,176421,0.46,0.328,-0.132
217,Ottapidaram,1568,South,879,177840,196117,0.882,0.448,-0.434
218,Kovilpatti,1124,South,593,180928,194232,0.621,0.305,-0.316
219,Sankarankovil,1957,South,560,183338,196480,1.067,0.285,-0.782
220,Vasudevanallur,2171,South,637,175881,189795,1.234,0.336,-0.898
221,Kadayanallur,1056,South,527,205374,221951,0.514,0.237,-0.277
222,Tenkasi,1159,South,673,214108,234987,0.541,0.286,-0.255
223,Alangulam,1786,South,982,203478,220857,0.878,0.445,-0.433
224,Tirunelveli,2091,South,717,197587,218425,1.058,0.328,-0.73
225,Ambasamudram,1673,South,1060,177681,191195,0.942,0.554,-0.388
226,Palayamcottai,1647,South,851,161091,180620,1.022,0.471,-0.551
227,Nanguneri,1537,South,721,192522,209419,0.798,0.344,-0.454
228,Radhapuram,903,South,469,187310,199931,0.482,0.235,-0.247
229,Kanniyakumari,1096,South,825,224874,239150,0.487,0.345,-0.142
230,Nagercoil,930,South,447,184185,196280,0.505,0.228,-0.277
231,Colachel,878,South,581,182969,199013,0.48,0.292,-0.188
232,Padmanabhapuram,1036,South,615,170156,180555,0.609,0.341,-0.268
233,Vilavancode,782,South,828,167836,174927,0.466,0.473,0.007
234,Killiyoor,754,South,502,169918,177534,0.444,0.283,-0.161
