ac_number,region,party_grp,votes,total_ac,vote_pct,year
67,North,AIADMK,102961,221422,46.5,2021
67,North,DMK,99833,221422,45.087,2021
67,North,NOTA,1690,221422,0.763,2021
67,North,NTK,10491,221422,4.738,2021
67,North,Others,6447,221422,2.912,2021
68,North,AIADMK,90189,214460,42.054,2021
68,North,DMK,102460,214460,47.776,2021
68,North,NOTA,1895,214460,0.884,2021
68,North,NTK,12192,214460,5.685,2021
68,North,Others,7724,214460,3.602,2021
69,North,DMK,102064,185974,54.881,2021
69,North,NOTA,1769,185974,0.951,2021
69,North,NTK,9284,185974,4.992,2021
69,North,Others,6746,185974,3.627,2021
69,North,PMK,66111,185974,35.549,2021
70,Central,DMK,109625,206880,52.99,2021
70,Central,NOTA,2279,206880,1.102,2021
70,Central,NTK,9920,206880,4.795,2021
70,Central,Others,11234,206880,5.43,2021
70,Central,PMK,73822,206880,35.683,2021
71,Central,DMK,78814,176989,44.53,2021
71,Central,NOTA,884,176989,0.499,2021
71,Central,NTK,8340,176989,4.712,2021
71,Central,Others,7907,176989,4.468,2021
71,Central,PMK,81044,176989,45.79,2021
72,Central,AIADMK,87152,182538,47.745,2021
72,Central,DMK,77399,182538,42.402,2021
72,Central,NOTA,1523,182538,0.834,2021
72,Central,NTK,9203,182538,5.042,2021
72,Central,Others,7261,182538,3.978,2021
73,Central,AIADMK,92219,182208,50.612,2021
73,Central,NOTA,1363,182208,0.748,2021
73,Central,NTK,8587,182208,4.713,2021
73,Central,Others,9547,182208,5.24,2021
73,Central,VCK,70492,182208,38.688,2021
74,Central,AIADMK,87403,204860,42.665,2021
74,Central,DMK,102271,204860,49.922,2021
74,Central,NOTA,970,204860,0.473,2021
74,Central,NTK,6375,204860,3.112,2021
74,Central,Others,7841,204860,3.827,2021
75,Central,AIADMK,84157,193617,43.466,2021
75,Central,DMK,93730,193617,48.41,2021
75,Central,NOTA,1122,193617,0.579,2021
75,Central,NTK,8216,193617,4.243,2021
75,Central,Others,6392,193617,3.301,2021
76,Central,BJP,51300,196217,26.145,2021
76,Central,DMK,110980,196217,56.56,2021
76,Central,NOTA,2039,196217,1.039,2021
76,Central,NTK,11620,196217,5.922,2021
76,Central,Others,20278,196217,10.334,2021
77,Central,AIADMK,110195,244853,45.005,2021
77,Central,DMK,115451,244853,47.151,2021
77,Central,NOTA,2280,244853,0.931,2021
77,Central,NTK,9000,244853,3.676,2021
77,Central,Others,7927,244853,3.237,2021
78,Central,AIADMK,72184,215106,33.557,2021
78,Central,DMK,113912,215106,52.956,2021
78,Central,NOTA,2420,215106,1.125,2021
78,Central,NTK,12066,215106,5.609,2021
78,Central,Others,14524,215106,6.752,2021
79,Central,DMK,121186,215802,56.156,2021
79,Central,NOTA,953,215802,0.442,2021
79,Central,NTK,9873,215802,4.575,2021
79,Central,Others,8567,215802,3.97,2021
79,Central,PMK,75223,215802,34.857,2021
80,Central,AIADMK,110643,225858,48.988,2021
80,Central,INC,84752,225858,37.524,2021
80,Central,NOTA,1257,225858,0.557,2021
80,Central,NTK,16474,225858,7.294,2021
80,Central,Others,12732,225858,5.637,2021
81,Central,AIADMK,89568,186503,48.025,2021
81,Central,DMK,82207,186503,44.078,2021
81,Central,NOTA,1251,186503,0.671,2021
81,Central,NTK,9323,186503,4.999,2021
81,Central,Others,4154,186503,2.227,2021
82,Central,AIADMK,95308,199743,47.715,2021
82,Central,DMK,87051,199743,43.582,2021
82,Central,NOTA,1834,199743,0.918,2021
82,Central,NTK,10233,199743,5.123,2021
82,Central,Others,5317,199743,2.662,2021
83,Central,AIADMK,121561,238924,50.879,2021
83,Central,DMK,95606,238924,40.015,2021
83,Central,NOTA,1979,238924,0.828,2021
83,Central,NTK,13308,238924,5.57,2021
83,Central,Others,6470,238924,2.708,2021
84,Central,AIADMK,142488,249027,57.218,2021
84,Central,INC,87194,249027,35.014,2021
84,Central,NOTA,1600,249027,0.643,2021
84,Central,NTK,9416,249027,3.781,2021
84,Central,Others,8329,249027,3.345,2021
85,Central,DMK,96399,218442,44.13,2021
85,Central,NOTA,2247,218442,1.029,2021
85,Central,NTK,9109,218442,4.17,2021
85,Central,Others,13632,218442,6.241,2021
85,Central,PMK,97055,218442,44.431,2021
86,Central,AIADMK,163154,247301,65.974,2021
86,Central,DMK,69352,247301,28.044,2021
86,Central,NOTA,1109,247301,0.448,2021
86,Central,NTK,6626,247301,2.679,2021
86,Central,Others,7060,247301,2.855,2021
87,Central,AIADMK,115472,232247,49.719,2021
87,Central,DMK,95427,232247,41.089,2021
87,Central,NOTA,1469,232247,0.633,2021
87,Central,NTK,10862,232247,4.677,2021
87,Central,Others,9017,232247,3.883,2021
88,Central,DMK,83984,216628,38.769,2021
88,Central,NOTA,1683,216628,0.777,2021
88,Central,NTK,10668,216628,4.925,2021
88,Central,Others,14810,216628,6.837,2021
88,Central,PMK,105483,216628,48.693,2021
89,Central,AIADMK,85844,202376,42.418,2021
89,Central,DMK,93432,202376,46.168,2021
89,Central,NOTA,1539,202376,0.76,2021
89,Central,NTK,8155,202376,4.03,2021
89,Central,Others,13406,202376,6.624,2021
90,Central,AIADMK,97506,199982,48.757,2021
90,Central,DMK,74897,199982,37.452,2021
90,Central,NOTA,1860,199982,0.93,2021
90,Central,NTK,10176,199982,5.088,2021
90,Central,Others,15543,199982,7.772,2021
91,Central,AIADMK,111682,223702,49.924,2021
91,Central,DMK,91787,223702,41.031,2021
91,Central,NOTA,1409,223702,0.63,2021
91,Central,NTK,9806,223702,4.384,2021
91,Central,Others,9018,223702,4.031,2021
92,Central,AIADMK,88775,196904,45.085,2021
92,Central,DMK,90727,196904,46.077,2021
92,Central,NOTA,2110,196904,1.072,2021
92,Central,NTK,11295,196904,5.736,2021
92,Central,Others,3997,196904,2.03,2021
93,Central,AIADMK,80188,199235,40.248,2021
93,Central,DMK,90681,199235,45.515,2021
93,Central,NOTA,2058,199235,1.033,2021
93,Central,NTK,11654,199235,5.849,2021
93,Central,Others,14654,199235,7.355,2021
94,Central,AIADMK,78633,206759,38.031,2021
94,Central,DMK,106494,206759,51.506,2021
94,Central,NOTA,1285,206759,0.621,2021
94,Central,NTK,10122,206759,4.896,2021
94,Central,Others,10225,206759,4.945,2021
95,Central,AIADMK,86034,183697,46.835,2021
95,Central,DMK,78372,183697,42.664,2021
95,Central,NOTA,964,183697,0.525,2021
95,Central,NTK,11684,183697,6.36,2021
95,Central,Others,6643,183697,3.616,2021
96,Central,AIADMK,78826,184669,42.685,2021
96,Central,DMK,81688,184669,44.235,2021
96,Central,NOTA,1518,184669,0.822,2021
96,Central,NTK,13967,184669,7.563,2021
96,Central,Others,8670,184669,4.695,2021
97,Central,AIADMK,100800,201925,49.92,2021
97,Central,DMK,69154,201925,34.247,2021
97,Central,NOTA,1342,201925,0.665,2021
97,Central,NTK,13240,201925,6.557,2021
97,Central,Others,17389,201925,8.612,2021
98,Kongu,AIADMK,58396,152037,38.409,2021
98,Kongu,INC,67300,152037,44.266,2021
98,Kongu,NOTA,1546,152037,1.017,2021
98,Kongu,NTK,11629,152037,7.649,2021
