Column2,Column11,Column12
AC NO.,POSTAL,TOTAL
55,0,145
55,0,132
55,0,127
55,1,125
55,1,81
55,1,73
55,1,65
55,0,54
56,1020,120641
56,284,64415
56,16,3776
56,3,1966
56,6,788
56,2,584
56,3,422
56,1,353
56,4,346
56,3,222
56,1,209
56,0,162
56,1,138
57,965,110070
57,935,81970
57,57,7704
57,15,2409
57,3,1351
57,8,1176
57,5,585
57,1,465
57,0,406
57,0,169
57,5,120
57,0,90
57,1,80
58,873,106123
58,1172,84937
58,55,8945
58,11,2921
58,9,1968
58,5,1759
58,20,1471
58,1,451
58,2,265
58,7,245
58,1,243
58,1,212
58,3,211
58,0,207
58,3,205
58,3,142
59,1215,105630
59,1924,78770
59,60,11226
59,91,8700
59,49,5083
59,7,1897
59,13,1726
59,2,718
59,0,654
59,2,464
59,0,364
59,2,357
59,0,304
59,1,237
59,3,213
59,0,208
59,0,194
59,0,160
59,1,127
59,3,117
59,0,110
59,0,74
60,1110,114507
60,1733,77564
60,266,15863
60,83,7573
60,9,1729
60,8,1338
60,2,625
60,6,432
60,1,300
60,0,257
60,1,187
60,1,150
60,0,130
60,2,123
60,2,122
60,5,94
61,931,99061
61,1341,68699
61,166,14327
61,120,10950
61,17,2249
61,0,920
61,1,521
61,4,413
61,5,382
61,7,282
61,2,265
61,1,173
61,1,169
61,1,154
62,1896,108081
62,1231,96511
62,100,12080
62,28,2769
62,6,1085
62,5,828
62,11,801
62,0,417
62,2,381
62,0,200
62,3,174
62,34,173
62,42,127
62,1,112
62,2,112
62,0,99
63,2889,137876
63,367,43203
63,101,13995
63,77,6246
63,24,2194
63,20,2108
63,6,780
63,3,548
63,6,466
63,0,430
63,0,291
63,19,164
63,5,157
63,4,146
63,1,131
63,3,101
64,1962,104675
64,1034,77888
64,77,11541
64,19,2191
64,6,1437
64,7,961
64,9,844
64,5,598
64,5,597
64,7,504
64,2,417
64,1,408
64,4,317
64,20,271
64,3,239
64,3,197
64,0,185
64,1,152
64,0,147
64,39,125
64,0,117
64,0,75
65,1422,94134
65,842,84912
65,74,8822
65,18,2756
65,9,1595
65,10,765
65,3,715
65,9,632
65,1,449
65,20,382
65,1,321
65,6,248
65,5,244
65,1,239
65,2,128
65,1,92
66,854,97732
66,1463,88007
66,132,10197
66,19,1580
66,0,1188
66,13,1144
66,10,656
66,4,604
66,0,278
66,0,216
66,8,90
66,10,87
66,1,72
66,0,56
66,0,55
66,0,50
67,736,102961
67,1447,99833
67,118,10491
67,17,2213
67,9,1861
67,24,1690
67,3,509
67,2,397
67,2,332
67,0,313
67,5,222
67,13,178
67,1,134
67,0,133
67,2,80
67,19,75
68,1380,102460
68,720,90189
68,80,12192
68,26,2429
68,13,1895
68,12,1760
68,2,733
68,5,731
68,1,504
68,1,290
68,2,288
68,1,282
68,3,262
68,1,190
68,12,143
68,12,112
69,1113,102064
69,494,66111
69,35,9284
69,10,1769
69,14,1728
69,14,1692
69,2,1264
69,10,607
69,6,546
69,1,407
69,3,363
69,3,139
70,1942,109625
70,744,73822
70,60,9920
70,60,4811
70,4,2279
70,14,2151
70,3,1914
70,5,637
70,5,559
70,9,410
70,1,246
70,2,181
70,1,168
70,1,157
71,841,81044
71,915,78814
71,25,8340
71,8,3921
71,2,884
71,2,807
71,1,648
71,6,647
71,5,524
71,4,377
71,1,344
71,0,249
71,0,144
71,0,137
71,0,109
72,997,87152
72,1361,77399
72,41,9203
72,23,2701
72,11,2079
72,9,1523
72,4,603
72,0,424
72,1,379
72,0,247
72,0,195
72,0,148
72,9,141
72,2,122
72,4,112
72,0,110
73,718,92219
73,649,70492
73,50,8587
73,30,5460
73,8,2500
73,7,1363
73,2,813
73,9,774
74,1848,102271
74,1035,87403
74,61,6375
74,35,3242
74,11,1695
74,10,970
74,0,491
74,3,415
74,0,371
74,4,322
74,0,321
74,0,233
74,0,118
74,0,84
74,0,78
74,0,78
74,0,67
74,0,66
74,1,48
74,0,42
74,0,35
74,0,34
74,0,32
74,2,27
74,0,23
74,0,19
75,1109,93730
75,899,84157
75,75,8216
75,14,3053
75,14,1122
75,1,907
75,3,655
75,3,520
75,0,436
75,2,305
75,3,207
75,1,96
75,8,81
75,3,78
75,0,54
76,1754,110980
76,413,51300
76,69,13997
76,53,11620
76,9,2039
76,0,1482
76,10,1066
76,2,883
76,5,696
76,1,566
76,0,480
76,0,412
76,5,276
76,0,231
76,6,189
77,1107,115451
77,1235,110195
77,46,9000
77,5,2848
77,3,2280
77,1,2107
77,2,825
77,4,677
77,1,352
77,1,299
77,0,263
77,3,143
77,1,117
77,0,110
77,3,105
77,0,81
78,914,113912
78,263,72184
78,25,12066
78,20,10387
78,1,2420
78,0,1508
78,3,640
78,2,426
78,0,308
78,0,287
78,1,268
78,1,151
78,0,149
78,1,142
78,2,129
78,0,129
79,1699,121186
79,521,75223
79,49,9873
79,1,2120
79,1,1156
79,9,953
79,0,844
79,3,810
79,6,609
79,2,460
79,0,428
79,2,379
79,0,348
79,1,293
79,0,272
79,1,257
79,0,203
79,1,166
79,0,134
79,0,88
80,734,110643
80,1385,84752
80,65,16474
80,16,6571
80,10,1257
80,0,1197
80,1,1097
80,0,937
80,7,871
80,4,659
80,1,266
80,2,250
80,1,198
80,0,185
80,0,171
80,0,125
80,0,103
80,0,102
81,668,89568
81,1741,82207
81,82,9323
81,22,1519
81,10,1251
81,6,609
81,5,493
81,4,485
81,0,396
81,0,392
81,0,155
81,1,105
82,1046,95308
82,1808,87051
82,92,10233
82,22,1959
82,17,1834
82,24,1699
82,2,494
82,0,367
82,1,241
82,0,222
82,0,215
82,3,120
83,1019,121561
83,1679,95606
83,94,13308
83,24,2986
83,24,1979
83,6,876
83,1,660
83,0,579
83,5,490
83,5,289
83,2,167
83,7,165
83,0,148
83,1,110
84,961,142488
84,1368,87194
84,75,9416
84,42,2930
84,19,1600
84,24,1228
84,14,1202
84,8,812
84,0,676
84,1,434
84,2,284
84,4,281
84,5,149
84,2,118
84,7,111
84,0,104
85,1260,97055
85,1962,96399
85,105,9109
85,56,4605
85,6,2823
85,8,2247
85,14,1874
85,2,1783
85,6,738
85,1,435
85,3,386
85,4,325
85,3,269
85,0,226
85,2,168
86,2223,163154
86,1270,69352
86,52,6626
86,15,1547
86,18,1109
86,2,815
86,10,774
86,0,555
86,0,483
86,0,474
86,0,407
86,2,261
86,0,208
86,0,202
86,0,199
86,1,166
86,6,153
86,3,135
86,1,118
86,1,91
86,0,89
86,0,66
86,0,64
86,1,61
86,1,47
86,0,44
86,0,39
86,1,36
86,0,26
87,1096,115472
87,1530,95427
87,74,10862
87,35,3175
87,9,1471
87,16,1469
87,1,847
87,2,814
87,1,525
87,0,481
87,2,278
87,2,211
87,3,200
87,0,166
87,0,135
87,0,119
87,0,99
87,0,97
87,0,96
87,3,95
87,2,89
87,0,55
87,0,33
87,1,31
88,755,105483
88,1595,83984
88,76,10668
88,72,7939
88,27,2307
88,20,1683
88,2,639
88,4,580
88,1,330
88,0,315
88,6,283
88,1,241
88,2,232
88,1,222
88,0,211
88,0,191
88,8,164
88,0,132
88,1,129
88,0,128
88,0,120
88,2,110
88,0,105
88,2,99
88,0,93
88,1,79
88,0,68
88,0,57
88,0,36
89,2210,93432
89,818,85844
89,108,10718
89,76,8155
89,34,1539
89,5,805
89,7,345
89,1,300
89,0,213
89,0,208
89,0,177
89,2,167
89,1,96
89,4,73
89,1,63
89,1,55
89,0,50
89,1,45
89,0,39
89,0,27
89,1,25
90,719,97506
90,1203,74897
90,60,10368
90,48,10176
90,18,2970
90,28,1860
90,3,400
90,0,311
90,0,224
90,0,210
90,1,149
90,3,133
90,1,112
90,1,87
90,1,79
90,1,75
90,2,63
90,1,62
90,0,61
90,1,61
90,0,58
90,1,46
90,0,26
90,1,26
90,0,22
91,601,111682
91,1055,91787
91,72,9806
91,29,4986
91,18,1409
91,9,1302
91,2,386
91,3,361
91,0,324
91,0,265
91,1,237
91,1,230
91,0,208
91,0,133
91,3,129
91,1,118
91,0,94
91,2,69
91,0,62
91,0,59
91,0,55
92,2115,90727
92,924,88775
92,155,11295
92,22,2110
92,14,1133
92,9,1051
92,1,450
92,5,351
92,1,217
92,1,151
92,1,147
92,2,142
92,0,123
92,0,88
92,0,81
92,1,63
93,1535,90681
93,485,80188
93,120,11654
93,43,11371
93,14,2058
93,4,831
93,0,672
93,3,431
93,1,251
93,0,227
93,0,202
93,1,195
93,1,137
93,0,131
93,3,119
93,0,87
94,3014,106494
94,1590,78633
94,114,10122
94,59,5589
94,19,1285
94,12,972
94,5,433
94,6,313
94,4,291
94,7,261
94,1,253
94,2,249
94,3,223
94,1,198
94,4,193
94,6,175
94,5,149
94,2,132
94,4,118
94,1,114
94,3,107
94,1,101
94,3,87
94,1,86
94,2,78
94,1,58
94,2,45
95,1441,86034
95,2310,78372
95,130,11684
95,24,1882
95,8,1329
95,12,964
95,0,495
95,1,368
95,0,280
95,1,270
95,0,259
95,0,232
95,0,219
95,1,178
95,1,156
95,4,136
95,4,132
95,0,112
95,0,88
95,1,87
95,1,70
95,1,68
95,1,67
95,0,65
95,0,52
95,1,42
95,2,35
95,0,21
96,1754,81688
96,816,78826
96,110,13967
96,29,3724
96,12,1518
96,1,666
96,5,515
96,3,449
96,0,391
96,1,379
96,2,375
96,5,358
96,1,326
96,0,210
96,1,204
96,4,200
96,1,127
96,0,100
96,3,96
96,5,76
96,0,75
96,0,62
96,4,61
96,0,54
96,1,53
96,0,52
96,1,49
96,0,43
96,1,25
97,599,100800
97,633,69154
97,69,13240
97,37,7342
97,18,6125
97,5,1342
97,1,1022
97,2,411
97,0,304
97,0,252
97,0,242
97,1,200
97,1,194
97,0,188
97,0,155
97,0,131
97,1,119
97,1,113
97,1,101
97,1,78
97,0,76
97,2,63
97,2,57
97,0,42
97,0,37
97,0,35
97,0,30
97,0,27
97,0,23
97,0,22
98,803,67300
98,299,58396
98,54,11629
98,39,10005
98,16,1546
98,7,1204
98,0,373
98,6,372
98,3,299
98,0,256
98,1,235
98,1,151
98,2,102
98,1,96
98,1,73
99,1725,100757
99,468,78668
99,56,13353
99,39,8107
99,14,1968
99,2,730
99,0,568
99,2,434
99,0,189
99,2,179
99,3,169
99,0,113
99,3,109
99,0,108
99,2,73
99,0,54
100,472,78125
100,1435,77844
100,73,12944
100,19,4574
100,10,2342
100,8,1547
100,7,1143
100,1,882
100,7,569
100,0,335
100,1,327
100,1,301
100,7,295
100,2,275
100,5,235
100,0,119
101,1515,89986
101,629,88593
101,62,6753
101,16,2130
101,22,1903
101,6,1172
101,5,892
101,2,826
101,2,640
101,0,233
101,0,220
101,1,202
101,1,158
101,5,157
101,3,126
102,1019,94197
102,389,86866
102,59,11307
102,10,2327
102,7,1027
102,0,474
102,1,435
102,0,421
102,0,330
102,0,285
102,0,276
102,0,273
102,0,247
102,0,225
102,0,134
102,1,124
102,0,113
102,1,107
102,2,100
102,1,95
102,1,89
102,0,84
102,0,83
102,2,62
102,0,59
102,0,40
102,0,38
103,593,85125
103,1049,70618
103,51,10294
103,80,9895
103,27,3533
103,8,3336
103,8,1620
103,10,1189
103,1,858
103,0,799
103,1,618
103,0,245
103,2,221
103,0,182
103,4,180
103,0,169
103,0,129
103,0,128
103,0,107
103,0,106
103,0,102
103,1,90
103,1,86
103,0,79
103,0,74
103,1,60
104,630,100915
104,1313,78392
104,61,10471
104,35,4221
104,9,2079
104,3,1224
104,3,956
104,7,943
104,2,870
104,0,419
104,2,322
104,1,245
104,1,122
104,0,107
104,0,99
105,1058,79096
105,347,77821
105,68,8230
105,8,2474
105,10,2045
105,5,1212
105,10,1027
105,1,957
105,0,567
105,0,543
105,0,503
105,0,428
105,0,229
105,1,225
105,1,199
105,1,184
105,1,152
105,1,147
105,2,132
105,1,111
105,0,103
106,1037,108608
106,1557,80045
106,58,11719
106,33,4291
106,29,2682
106,12,1307
106,7,1034
106,0,789
106,0,611
106,3,476
106,4,430
106,0,418
106,3,415
106,1,311
106,2,307
106,0,296
106,0,178
106,0,157
106,2,130
106,0,77
107,247,99181
107,973,83173
107,38,8517
107,17,4297
107,4,2197
107,2,2005
107,3,1197
108,1382,65530
108,629,60182
108,65,6381
108,76,4935
108,19,1376
108,23,1273
108,0,514
108,6,431
108,6,255
108,2,225
109,686,64496
109,987,62551
109,65,7317
109,13,1173
109,14,1017
109,10,960
109,4,421
109,1,322
110,1349,61820
110,461,57715
110,70,7252
110,34,3621
110,28,2527
110,11,1188
110,4,513
110,4,439
110,5,404
110,7,320
110,2,109
111,599,105231
111,1324,102775
111,54,10954
111,32,2733
111,8,1864
111,7,660
111,0,274
111,0,184
111,1,183
111,0,115
111,0,110
112,610,117284
112,929,66382
112,45,13256
112,61,8379
112,23,2577
112,20,2372
112,2,833
112,0,520
112,0,379
112,1,179
112,2,173
112,4,154
112,2,139
113,265,113384
113,603,73282
113,49,23110
113,37,19602
113,7,3427
113,8,2162
113,1,592
113,3,477
113,2,428
113,1,366
113,5,342
113,1,302
113,1,250
113,0,139
113,2,133
113,0,96
114,591,75535
114,275,70826
114,28,12898
114,20,9934
114,6,1757
114,9,1142
114,0,554
114,1,312
114,1,265
114,0,224
114,1,164
114,0,147
114,0,121
114,0,101
114,0,83
114,0,80
114,1,76
114,0,68
114,0,66
114,0,38
114,0,27
115,466,126903
115,996,94212
115,54,20524
115,32,10227
115,12,2618
115,9,1802
115,2,722
115,3,693
115,3,610
115,3,587
115,0,530
115,0,365
115,1,315
115,2,309
115,4,218
115,3,215
115,0,171
115,0,162
115,0,130
115,0,112
115,0,86
116,747,118968
116,1117,87036
116,50,14426
116,66,12658
116,24,4111
116,22,2610
116,0,380
116,1,241
116,0,213
116,0,209
116,5,196
116,1,177
116,2,128
116,4,116
116,1,101
116,1,83
117,688,135669
117,1336,125893
117,100,23527
117,74,17897
117,24,2892
117,10,2002
117,8,726
117,1,420
117,2,296
117,1,178
117,1,161
117,0,140
117,0,117
118,639,81454
118,1252,77453
118,168,26503
118,45,11433
118,23,1701
118,9,1659
118,2,531
118,0,313
118,5,250
118,0,248
118,1,233
118,0,141
118,1,140
118,1,139
118,0,135
118,0,128
118,0,124
118,3,86
118,2,57
118,0,49
118,0,22
119,687,124225
119,766,82595
119,34,11606
119,28,8042
119,13,1635
119,6,1235
119,2,428
119,1,312
119,2,175
119,1,142
119,0,136
120,582,53209
120,394,51481
